well,RFP freq,lambda,total count,corrected total count,BFP,YFP,day,row,strains,plate
A1,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E1,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A2,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E2,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A3,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E3,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A4,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E4,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A5,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E5,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A6,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E6,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A7,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E7,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A8,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E8,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A9,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E9,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A10,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E10,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A11,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E11,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
A12,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,A,SL,glass
E12,0.122307001,0.9139356829999999,143313,218641.7868,9231.46582,7968.314941,0,E,SL,plastic
C1,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G1,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C2,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G2,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C3,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G3,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C4,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G4,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C5,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G5,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C6,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G6,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C7,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G7,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C8,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G8,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C9,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G9,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C10,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G10,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C11,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G11,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
C12,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,C,RP,glass
G12,0.030701368,1.531914429,166832,326035.674,7295.082031,7432.496581999999,0,G,RP,plastic
A1,0.09403582699999999,0.910156353,145868,222182.5723,9213.964844,7635.048828,1,A,SL,glass
A2,0.102887937,1.1538203329999999,181511,305930.5912,9246.27832,7657.482422,1,A,SL,glass
A3,0.104744944,0.960515476,153053,238147.9327,9255.614258,7648.804687999999,1,A,SL,glass
A4,0.096123673,0.988484715,153927,242338.3017,9258.037109,7658.124512,1,A,SL,glass
A5,0.092607273,1.025965277,162904,260515.8198,9261.975586,7667.023437999999,1,A,SL,glass
A6,0.09490205800000001,1.032697535,165321,265122.0153,9249.926758,7663.542969,1,A,SL,glass
A7,0.093624525,0.9808152370000001,157883,247768.56699999998,9261.849609,7656.702637,1,A,SL,glass
A8,0.103071089,1.036739045,161108,258799.6986,9250.573242,7650.745117,1,A,SL,glass
A9,0.095803556,1.006681445,160294,254290.1668,9235.18457,7659.998535,1,A,SL,glass
A10,0.102793274,0.8945847920000001,141857,214645.197,9249.526367,7673.081543000001,1,A,SL,glass
A11,0.09604801199999999,0.919154087,148909,227683.1897,9254.829102,7670.547363,1,A,SL,glass
A12,0.120426514,0.887115656,143714,216763.0557,9258.584961,7677.70459,1,A,SL,glass
C1,0.045346805,1.581717099,196592,391441.8817,7195.706055,7339.1875,1,C,RP,glass
C2,0.04447982599999999,1.5710660680000001,200594,397823.5038,7192.193848000001,7356.601562999999,1,C,RP,glass
C3,0.046040318,1.815588816,217688,472055.1183,7204.981934,7370.391113,1,C,RP,glass
C4,0.044439818,1.5342409330000002,200091,391376.0269,7200.746094,7377.830566,1,C,RP,glass
C5,0.045817107999999995,1.526791124,198674,387513.9917,7188.189453,7363.87793,1,C,RP,glass
C6,0.04543363,1.6855508430000001,212566,439805.3374,7202.567383,7388.952637,1,C,RP,glass
C7,0.045294061,1.717218665,213299,446447.2777,7178.421875,7366.432129000001,1,C,RP,glass
C8,0.046080557,1.57226478,204341,405436.4394,7204.834473000001,7379.170898,1,C,RP,glass
C9,0.04677305599999999,1.597907976,201496,403635.2874,7197.584473000001,7381.726562999999,1,C,RP,glass
C10,0.045160195,1.612980192,197747,398350.3496,7194.260742,7366.239745999999,1,C,RP,glass
C11,0.045229882,1.7299779419999999,208794,439046.9024,7187.542969,7376.636719,1,C,RP,glass
C12,0.046893729,1.543788175,194221,381262.5194,7204.009765999999,7387.999023,1,C,RP,glass
E1,0.112478345,0.819783447,127247,186452.2364,9489.853516,7901.950684,1,E,SL,plastic
E2,0.098560599,0.8112797540000001,128784,188011.1689,9404.326172,7887.5625,1,E,SL,plastic
E3,0.097679923,0.801426888,126857,184408.5785,9399.004883,7872.851562999999,1,E,SL,plastic
E4,0.09635866800000001,0.839483649,136632,201913.5593,9379.292969,7820.794922,1,E,SL,plastic
E5,0.104239699,0.799356663,129927,188701.7329,9378.128906,7882.913573999999,1,E,SL,plastic
E6,0.098794156,0.7813736,131062,188867.5778,9375.051758,7880.474120999999,1,E,SL,plastic
E7,0.10256014199999999,0.7842167059999999,128918,186008.0828,9368.354492,7877.510742,1,E,SL,plastic
E8,0.10486822800000001,0.712722015,117796,164718.6183,9375.40918,7885.385254000001,1,E,SL,plastic
E9,0.103619165,0.718900325,118977,166823.81900000002,9378.158203,7895.182129000001,1,E,SL,plastic
E10,0.105736836,0.8324100209999999,135580,199748.8203,9378.666992,7906.162109000001,1,E,SL,plastic
E11,0.103561554,0.8508826070000001,130708,194109.09699999998,9369.254883,7902.460448999999,1,E,SL,plastic
E12,0.101961804,0.8737210879999999,133147,199678.06600000002,9381.277344,7918.45166,1,E,SL,plastic
G1,0.051105552,1.2044872979999999,128503,221065.8842,7279.474609000001,7566.037598000001,1,G,RP,plastic
G2,0.05075446,1.183035413,139368,237694.3267,7255.549316,7542.71582,1,G,RP,plastic
G3,0.049429448,1.216006662,142537,246345.6071,7260.229004000001,7523.041015999999,1,G,RP,plastic
G4,0.049942930999999996,1.2114523240000001,147314,254136.8122,7257.25,7508.807617,1,G,RP,plastic
G5,0.049628022,1.261910154,157465,277179.8136,7256.70459,7523.845703,1,G,RP,plastic
G6,0.049338584000000005,1.186543973,155667,265868.6565,7263.816895,7517.637695,1,G,RP,plastic
G7,0.050374484000000004,1.2618901359999999,164354,289303.9632,7262.753418000001,7536.124512,1,G,RP,plastic
G8,0.049249815999999995,1.17343091,158095,268589.2773,7254.072754000001,7498.314453,1,G,RP,plastic
G9,0.05007489,1.2113244859999999,164889,284441.495,7253.518555,7505.688477,1,G,RP,plastic
G10,0.050890165,1.2724445659999999,170197,300847.4391,7239.194823999999,7492.168945,1,G,RP,plastic
G11,0.050226597000000005,1.283369148,175219,311068.3645,7239.517578,7469.13623,1,G,RP,plastic
G12,0.05162739400000001,1.267775395,171765,303056.961,7243.124023,7483.946776999999,1,G,RP,plastic
A1,0.09618749,0.951449065,146663,227334.7321,9244.19043,7578.523437999999,2,A,SL,glass
A2,0.104201146,1.125322818,179128,298432.3541,9249.292969,7586.692870999999,2,A,SL,glass
A3,0.091316879,0.8351464909999999,134408,198255.9802,9252.249023,7609.372559,2,A,SL,glass
A4,0.092277125,0.961208185,149820,233185.454,9246.426758,7590.026855,2,A,SL,glass
