,time point,time,well,S freq,lambda,total count0,yfp mean,bfp mean,total count
1,1,0,A2,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
2,1,0,A3,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
3,1,0,A4,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
4,1,0,A5,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
5,1,0,A6,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
6,1,0,A7,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
7,1,0,A8,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
8,1,0,A9,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
9,1,0,A10,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
10,1,0,A11,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
11,1,0,A12,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
12,1,0,C1,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
13,1,0,C2,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
14,1,0,C3,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
15,1,0,C4,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
16,1,0,C5,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
17,1,0,C6,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
18,1,0,C7,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
19,1,0,C8,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
20,1,0,C9,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
21,1,0,C10,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
22,1,0,C11,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
23,1,0,C12,0.074761042,1.658502537,20873.25,7473.185059,8824.182373,208.73
24,2,3.483333333,C1,0.095808039,0.413581445,10759,7763.015137,8441.448242,2151.8
25,2,2.783333333,A2,0.100985813,0.194884677,5597,7781.979492,8560.327148,1119.4
26,2,3.483333333,C2,0.108780963,0.341404512,9647,7688.911133,8350.868164,1929.4
27,2,2.783333333,A3,0.103801727,0.258574476,5532,7823.078613,8599.490234,1106.4
28,2,3.483333333,C3,0.088596423,0.424747038,9867,7795.411133,8438.764648,1973.4
29,2,2.783333333,A4,0.097588743,0.233277015,5454,7764.82666,8528.824219,1090.8
30,2,3.483333333,C4,0.134238952,0.29057516,7409,7650.147949,8286.717773,1481.8
31,2,2.783333333,A5,0.118641412,0.230781291,4975,7747.391602,8505.27832,995
32,2,3.483333333,C5,0.131317523,0.318409409,6173,7689.216797,8340.321289,1234.6
33,2,2.783333333,A6,0.107690796,0.198222389,4989,7770.771973,8534.364258,997.8
34,2,3.483333333,C6,0.13139644,0.290252806,6012,7694.77002,8359.853516,1202.4
35,2,3.166666667,A7,0.106677597,0.303247721,7930,7745.533203,8422.734375,1586
36,2,3.8,C7,0.113557768,0.400170828,10341,7688.643555,8342.185547,2068.2
37,2,3.166666667,A8,0.102377819,0.274234054,7901,7740.115723,8436.84375,1580.2
38,2,3.8,C8,0.108706899,0.368221467,9821,7702.049316,8321.801758,1964.2
39,2,3.166666667,A9,0.124594677,0.231825006,6410,7711.561523,8380.359375,1282
40,2,3.8,C9,0.113515412,0.334882236,9178,7729.398438,8374.505859,1835.6
41,2,3.166666667,A10,0.118158501,0.235776049,6353,7768.643066,8451.847656,1270.6
42,2,3.8,C10,0.139977186,0.283768212,7207,7711.941895,8352.654297,1441.4
43,2,3.166666667,A11,0.109184863,0.305003125,6477,7770.48877,8457.380859,1295.4
44,2,3.8,C11,0.133622439,0.277208469,7297,7703.502441,8347.091797,1459.4
45,2,3.166666667,A12,0.119151774,0.24609151,6198,7812.835938,8499.716797,1239.6
46,2,3.8,C12,0.173258342,0.206723094,5271,7642.782227,8273.800781,1054.2
47,3,5.933333333,C1,0.074253946,0.770554218,15950,7458.996094,8145.16748,15950
48,3,5.266666667,A2,0.136361342,0.24668545,5373,7446.350098,8095.343262,5373
49,3,5.933333333,C2,0.068033884,0.854650915,15227,7436.804199,8170.70459,15227
50,3,5.266666667,A3,0.116828648,0.265735004,5985,7603.311523,8181.802246,5985
51,3,5.933333333,C3,0.060790017,1.065815484,9582,7547.661133,8298.624023,9582
52,3,5.266666667,A4,0.150492576,0.200608208,4798,7463.909668,8080.828613,4798
53,3,5.933333333,C4,0.059239924,0.945211707,16774,7438.243164,8208.545898,16774
54,3,5.266666667,A5,0.144893355,0.238576454,5416,7437.130859,8077.689453,5416
55,3,5.933333333,C5,0.064891652,0.839454052,15997,7378.305176,8150.685547,15997
56,3,5.266666667,A6,0.132225032,0.268992391,5609,7489.796387,8094.859375,5609
57,3,5.933333333,C6,0.064335758,0.839706594,17113,7370.685547,8141.373047,17113
58,3,5.616666667,A7,0.087724213,0.488932269,11698,7407.551758,8113.32959,11698
59,3,6.266666667,C7,0.063681672,0.967121399,18710,7452.299805,8238.038086,18710
60,3,5.616666667,A8,0.079649992,0.586410019,13777,7441.969727,8079.102539,13777
61,3,6.266666667,C8,0.063743434,1.010487218,18065,7409.390625,8199.753906,18065
62,3,5.616666667,A9,0.073943843,0.631044379,13847,7425.111816,8130.527832,13847
63,3,6.266666667,C9,0.064795147,0.939892116,18182,7422.967285,8203.777344,18182
64,3,5.616666667,A10,0.08424903,0.571881258,12787,7461.024902,8101.933594,12787
65,3,6.266666667,C10,0.061898058,0.926531044,17525,7415.249023,8209.266602,17525
66,3,5.616666667,A11,0.077305832,0.582462479,13747,7471.87793,8108.429688,13747
67,3,6.266666667,C11,0.06316835,0.945341573,17953,7379.933105,8179.697266,17953
68,3,5.616666667,A12,0.095969907,0.440759471,9794,7506.691895,8118.202148,9794
69,3,6.266666667,C12,0.062094402,0.970791059,18318,7391.485352,8245.772461,18318
70,4,8.1,C1,0.059434881,1.197388018,20150,7499.347168,8479.316406,20150
71,4,7.316666667,A2,0.059718589,1.065614079,16766,7442.046875,8380.756836,16766
72,4,8.1,C2,0.058886897,1.278946983,19557,7576.340332,8526.368164,19557
73,4,7.316666667,A3,0.066349683,1.188996188,19253,7457.805176,8290.125977,19253
74,4,8.1,C3,0.0659073,1.235107849,20647,7559.464844,8426.665039,20647
75,4,7.316666667,A4,0.059311061,1.285290477,20077,7458.622559,8380.226563,20077
76,4,8.1,C4,0.057940787,1.190612652,18814,7615.666504,8577.552734,18814
77,4,7.316666667,A5,0.061441371,1.242993932,18985,7457.312988,8392.384766,18985
78,4,8.1,C5,0.065182594,1.110263079,17951,7569.004883,8508.588867,17951
79,4,7.316666667,A6,0.059827426,1.060471479,19194,7464.445801,8363.420898,19194
80,4,8.1,C6,0.061740148,1.159647297,20584,7613.217773,8525.960938,20584
81,4,7.7,A7,0.060877757,1.107782707,12323,7548.858887,8487.576172,12323
82,4,8.466666667,C7,0.060362995,1.192919001,20917,7613.968262,8597.866211,20917
83,4,7.7,A8,0.05834576,1.191865009,20348,7489.169434,8438.772461,20348
84,4,8.466666667,C8,0.060181167,1.148410002,20973,7614.256348,8552.363281,20973
85,4,7.7,A9,0.058038927,0.91976792,18765,7529.35791,8530.519531,18765
86,4,8.466666667,C9,0.061735442,1.197031153,19820,7631.247559,8516.265625,19820
87,4,7.7,A10,0.061450649,1.013639859,18220,7532.306641,8472.493164,18220
