,Fitness,Day,anc1,anc2,anc3,f0,measurement var,Anc,Anc2,anc num
0,-0.2141846933606657,1,1,0,0,0.140215436,0.0025907294247795656,1,10,1
1,-0.21378633864060603,1,4,0,0,0.140215436,0.002397001569912845,1,40,1
6,-0.25185748072506886,1,2,0,0,0.140215436,0.0025074039164712306,1,20,1
9,0.07306687797108458,1,3,0,0,0.140215436,0.0024512505019292034,1,30,1
24,0.3833886888399436,2,1,0,0,0.116326529,0.0017919540612474079,0,10,0
25,-0.25224371261344514,2,4,0,0,0.11636748400000001,0.002473485708388656,0,40,0
30,-0.2739115777933585,2,2,0,0,0.11250958900000001,0.002709856778902105,0,20,0
33,-0.40740734454296135,2,3,0,0,0.149257702,0.002421829591471444,0,30,0
48,-0.43029217800575226,3,1,0,0,0.16188111,0.0011552814013472748,0,10,0
49,-0.1288025227808829,3,4,0,0,0.092832372,0.0025369950977918304,0,40,0
54,-0.40659845816116613,3,2,0,0,0.08792237,0.0027791687016701424,0,20,0
57,-0.3372248478657145,3,3,0,0,0.104533029,0.0026836202254298482,0,30,0
72,-0.04732748624280125,4,1,1,0,0.11159118400000001,0.0013690117554654166,2,11,2
73,-0.12476200153904893,4,4,10,0,0.082539364,0.0024186995066956965,5,410,5
74,-0.07415135541432294,4,4,11,0,0.082539364,0.0022960840936668715,5,411,5
75,-0.08621521103867646,4,4,12,0,0.082539364,0.002101114683094876,5,412,5
76,-0.052852812437885976,4,1,2,0,0.11159118400000001,0.0013529051442200545,2,12,2
77,-0.017738692717892857,4,1,3,0,0.11159118400000001,0.0014011630306675661,2,13,2
78,0.07568919244855454,4,2,4,0,0.060320360999999996,0.002587567082563424,3,24,3
79,-0.07235998858852932,4,2,5,0,0.060320360999999996,0.0029404253828906888,3,25,3
80,0.04052093475435514,4,2,6,0,0.060320360999999996,0.002472091528554955,3,26,3
81,0.25297877992682194,4,3,7,0,0.076911685,0.0022684373203003725,4,37,4
82,0.03965975845307401,4,3,8,0,0.076911685,0.002626386695364129,4,38,4
83,-0.14870216394306857,4,3,9,0,0.076911685,0.002783404424175688,4,39,4
96,-0.26044318349114803,5,1,1,0,0.106984741,0.0015698840499134312,0,11,0
97,0.00024599176309791915,5,4,10,0,0.073570327,0.0019103326459538835,0,410,0
98,0.07457476442395228,5,4,11,0,0.077095154,0.0017627055423173285,0,411,0
99,0.30562802575258274,5,4,12,0,0.07624116,0.001461592215101811,0,412,0
100,-0.1976691798625132,5,1,2,0,0.106458002,0.0013090420720589325,0,12,0
101,-0.1977433804233626,5,1,3,0,0.109844674,0.0013521002580484927,0,13,0
102,-0.15341410813639866,5,2,4,0,0.06475606,0.002372439936722227,0,24,0
103,0.0056862633235832405,5,2,5,0,0.056347012,0.0028538690666153367,0,25,0
