,group,day,well,S freq,lambda,total count,corrected total count,BFP,YFP,anc1,anc2,anc3
0,A1,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
1,A2,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
2,A3,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
3,A4,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
4,A5,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
5,A6,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
6,A7,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
7,A8,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
8,A9,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
9,A10,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
10,A11,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
11,A12,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
12,C1,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
13,C2,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
14,C3,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
15,C4,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
16,C5,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
17,C6,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
18,C7,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
19,C8,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
20,C9,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
21,C10,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
22,C11,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
23,C12,0,C1,0.140215436,0.864115407,6992,10442.70203,8912.391602,7453.589355,,,
24,A1,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
25,A2,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
26,A3,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
27,C1,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
28,C2,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
29,C3,1,C1,0.116326529,1.131385989,6927,11569.15706,8882.62207,7706.27832,1,,
30,A4,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
31,A5,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
32,A6,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
33,C4,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
34,C5,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
35,C6,1,C2,0.112509589,1.397059677,7581,14071.25619,8866.051758,7709.551758,2,,
36,A7,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
37,A8,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
38,A9,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
39,C7,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
40,C8,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
41,C9,1,C3,0.149257702,1.055710453,6226,10080.21517,8868.033203,7700.95166,3,,
42,A10,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
43,A11,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
44,A12,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
45,C10,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
46,C11,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
47,C12,1,C4,0.116367484,1.328104359,8033,14514.77391,8839.307617,7733.714355,4,,
48,A1,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
49,A2,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
50,A3,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
51,C1,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
52,C2,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
53,C3,2,A1,0.16188111,1.489074391,19017,36566.43345,8941.930664,7959.168945,1,,
54,A4,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
55,A5,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
56,A6,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
57,C4,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
58,C5,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
59,C6,2,A2,0.08792237,1.000958472,8979,14210.26073,8903.180664,7621.025391,2,,
60,A7,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
61,A8,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
62,A9,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
63,C7,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
64,C8,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
65,C9,2,A3,0.104533029,1.061944947,9234,14988.90132,8930.892578,7655.333984,3,,
66,A10,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
67,A11,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
68,A12,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
69,C10,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
70,C11,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
71,C12,2,A4,0.092832372,1.033001044,9403,15081.30637,8902.856445,7667.048828,4,,
72,A1,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
73,A2,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
74,A3,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
75,C1,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
76,C2,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
77,C3,3,C1,0.111591184,1.368507968,13139,24118.70913,8938.811523,7471.479004,1,,
78,A4,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
79,A5,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
80,A6,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
81,C4,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
82,C5,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
83,C6,3,C2,0.060320361,1.159803569,12689,21438.85145,8863.907227,7474.063477,2,,
84,A7,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
85,A8,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
86,A9,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
87,C7,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
88,C8,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
89,C9,3,C3,0.076911685,1.254057662,9226,16189.53162,8853.678711,7493.54248,3,,
90,A10,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
91,A11,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
92,A12,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
93,C10,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
94,C11,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
95,C12,3,C4,0.082539364,1.393847204,10364,19212.92138,8800.3125,7460.999023,4,,
96,A1,4,E1,0.106984741,1.326397692,17407,31431.52906,8761.849609,7322.783691,1,1,
97,C1,4,E1,0.106984741,1.326397692,17407,31431.52906,8761.849609,7322.783691,1,1,
98,A2,4,E2,0.106458002,1.21765981,17964,31067.63286,8768.506836,7347.077148,1,2,
99,C2,4,E2,0.106458002,1.21765981,17964,31067.63286,8768.506836,7347.077148,1,2,
100,A3,4,E3,0.109844674,1.236904774,16145,28137.66638,8730.957031,7325.404297,1,3,
101,C3,4,E3,0.109844674,1.236904774,16145,28137.66638,8730.957031,7325.404297,1,3,
102,A4,4,E4,0.06475606,1.121552638,13792,22942.52173,8854.96582,7473.983398,2,4,
103,C4,4,E4,0.06475606,1.121552638,13792,22942.52173,8854.96582,7473.983398,2,4,
104,A5,4,E5,0.056347012,0.944560589,12133,18752.12485,8851.728516,7485.044434,2,5,
105,C5,4,E5,0.056347012,0.944560589,12133,18752.12485,8851.728516,7485.044434,2,5,
106,A6,4,E6,0.062658498,0.985730802,15740,24752.02866,8817.337891,7505.371582,2,6,
107,C6,4,E6,0.062658498,0.985730802,15740,24752.02866,8817.337891,7505.371582,2,6,
108,A7,4,E7,0.096905728,1.551811614,15405,30331.88709,8815.642578,7492.952148,3,7,
109,C7,4,E7,0.096905728,1.551811614,15405,30331.88709,8815.642578,7492.952148,3,7,
110,A8,4,E8,0.079775051,0.974391561,12387,19386.78648,8793.452148,7518.927734,3,8,
111,C8,4,E8,0.079775051,0.974391561,12387,19386.78648,8793.452148,7518.927734,3,8,
112,A9,4,E9,0.066996457,1.166759481,12730,21568.82713,8817.392578,7445.875,3,9,
113,C9,4,E9,0.066996457,1.166759481,12730,21568.82713,8817.392578,7445.875,3,9,
114,A10,4,E10,0.073570327,1.224498507,12819,22230.50379,8806.994141,7509.247559,4,10,
115,C10,4,E10,0.073570327,1.224498507,12819,22230.50379,8806.994141,7509.247559,4,10,
116,A11,4,E11,0.077095154,1.152384399,13753,23166.70282,8837.823242,7527.269531,4,11,
117,C11,4,E11,0.077095154,1.152384399,13753,23166.70282,8837.823242,7527.269531,4,11,
118,A12,4,E12,0.07624116,1.089071361,17170,28184.1277,8828.511719,7501.942871,4,12,
119,C12,4,E12,0.07624116,1.089071361,17170,28184.1277,8828.511719,7501.942871,4,12,
120,A1,5,G1,0.084527714,1.345025509,13342,24267.9279,8752.375977,7453.907227,1,1,
121,C1,5,G1,0.084527714,1.345025509,13342,24267.9279,8752.375977,7453.907227,1,1,
122,A2,5,G2,0.089064444,1.450885418,17028,32268.12027,8810.654297,7484.40918,1,2,
123,C2,5,G2,0.089064444,1.450885418,17028,32268.12027,8810.654297,7484.40918,1,2,
124,A3,5,G3,0.091948535,1.475256171,16666,31877.6883,8782.523438,7491.166504,1,3,
125,C3,5,G3,0.091948535,1.475256171,16666,31877.6883,8782.523438,7491.166504,1,3,
126,A4,5,G4,0.056062426,1.538504631,16079,31500.92506,8804.391602,7499.648438,2,4,
127,C4,5,G4,0.056062426,1.538504631,16079,31500.92506,8804.391602,7499.648438,2,4,
128,A5,5,G5,0.056650126,1.75829184,14352,30489.54141,8855.709961,7537.640137,2,5,
129,C5,5,G5,0.056650126,1.75829184,14352,30489.54141,8855.709961,7537.640137,2,5,
130,A6,5,G6,0.063944531,1.659551478,17453,35768.1161,8849.201172,7510.806152,2,6,
131,C6,5,G6,0.063944531,1.659551478,17453,35768.1161,8849.201172,7510.806152,2,6,
132,A7,5,G7,0.082373441,1.838559416,18496,40437.42031,8814.30957,7496.431152,3,7,
133,C7,5,G7,0.082373441,1.838559416,18496,40437.42031,8814.30957,7496.431152,3,7,
134,A8,5,G8,0.066866559,1.89690984,18223,40669.02366,8789.085938,7486.096191,3,8,
135,C8,5,G8,0.066866559,1.89690984,18223,40669.02366,8789.085938,7486.096191,3,8,
136,A9,5,G9,0.069574431,1.654499069,18760,38375.28993,8818.477539,7508.259277,3,9,
137,C9,5,G9,0.069574431,1.654499069,18760,38375.28993,8818.477539,7508.259277,3,9,
138,A10,5,G10,0.073587095,2.035556103,19155,44848.66386,8769.135742,7468.880371,4,10,
139,C10,5,G10,0.073587095,2.035556103,19155,44848.66386,8769.135742,7468.880371,4,10,
