,well,BFP freq,lambda,total count,corrected total count,BFP,YFP,day,group
0,A1,0.0033643931969609777,1.7138210629920132,194355,406294.15271899564,8997.0244140625,7620.31591796875,1,3-4
1,A3,0.0031262019578027715,2.0432696006833138,229515,538790.5783123216,8862.1923828125,7549.90771484375,1,3-4
2,A5,0.0032630778860227526,1.6388832677628116,190364,387171.9166337161,8865.38671875,7556.3935546875,1,3-4
3,A7,0.0038112198404402077,2.0564259910258555,249556,588464.0633313094,8975.0283203125,7646.65625,1,3-4
4,A9,0.003524161107355981,1.8174737660968643,212651,461442.25583227054,8891.0810546875,7553.0576171875,1,3-4
5,A11,0.003688089313869154,2.0747447264375047,249270,591451.0591392502,8905.1865234375,7565.2705078125,1,3-4
6,B1,0.0031410047144107243,1.7685194953479224,199885,426204.81949846284,8878.58984375,7512.36279296875,1,3-4
7,B3,0.0031297194778374,1.6546381399990624,195587,400111.5136979847,8881.5322265625,7513.54296875,1,3-4
8,B5,0.00332628869519495,1.698879851233107,200253,416351.6138044781,8883.953125,7526.22119140625,1,3-4
9,B7,0.0032154124894814375,1.8409468529589423,218818,478802.52668013546,8875.4326171875,7536.98876953125,1,3-4
10,B9,0.003291943926233751,1.9104407198796198,226269,507372.2914997116,8909.6171875,7549.232421875,1,3-4
11,B11,0.0032235060989819165,1.9242560455242839,220007,495716.66046816274,8892.6162109375,7553.68212890625,1,3-4
12,C1,0.003396795656056838,1.8038214174936231,207996,449148.1555889962,8878.294921875,7529.93408203125,1,3-4
13,C3,0.0036343140675762615,1.685062197552705,206666,427521.64102595416,8877.1015625,7536.37548828125,1,3-4
14,C5,0.003261732938657474,1.8247681770692599,206498,449255.7202675281,8890.97265625,7562.64453125,1,3-4
15,C7,0.003456904863303583,1.8669565126590353,225508,498001.3806832878,8878.51953125,7539.3681640625,1,3-4
16,C9,0.003480920564955327,2.0046047131193254,232076,537649.2786810539,8914.857421875,7568.68798828125,1,3-4
17,C11,0.003490320342572587,1.966233597317156,225715,516046.1556267656,8892.5634765625,7554.3232421875,1,3-4
18,D1,0.0034432449914981763,1.5985114375402354,193021,386745.07798972295,8880.005859375,7506.4912109375,1,3-4
19,D3,0.003080304819083427,1.7620959420346602,205660,437505.6546067711,8890.8642578125,7526.720703125,1,3-4
20,D5,0.0033777022476151578,1.673586997678703,190246,391903.8203672929,8874.173828125,7550.17822265625,1,3-4
21,D7,0.003084865106902715,1.8501662143999376,216352,474955.3882210081,8900.630859375,7536.021484375,1,3-4
22,D9,0.0031318750323361707,1.930449871442884,228349,515624.6207972249,8871.396484375,7570.5244140625,1,3-4
23,D11,0.003024381993611657,2.030522841212595,225617,527343.158471267,8902.7763671875,7563.94140625,1,3-4
24,E1,0.0029796975105047386,1.817894116291608,196611,426700.13684222044,8864.70703125,7524.478515625,1,3-4
25,E3,0.0032686858311531783,1.622231148133955,203347,411038.5417914392,8893.4990234375,7550.69287109375,1,3-4
26,E5,0.003321676514457906,1.6124566118457317,192142,386984.1910123458,8896.181640625,7558.19140625,1,3-4
27,E7,0.0031833345012559867,1.8604108128858046,221079,487093.789106736,8874.78125,7557.5380859375,1,3-4
28,E9,0.0030699554154064424,1.94729053472104,218497,496275.90003609005,8901.244140625,7565.81396484375,1,3-4
29,E11,0.0031603111732846664,1.904812024719319,226341,506535.12618820096,8896.8203125,7581.41943359375,1,3-4
30,F1,0.003235800393054821,1.6729655360170375,194548,400674.5632934417,8907.2705078125,7534.56005859375,1,3-4
31,F3,0.0029609135857740043,1.735585202217487,205856,433749.3340319321,8891.2041015625,7567.34912109375,1,3-4
32,F5,0.003316256634142074,1.682600511059303,192540,397941.1599986968,8919.685546875,7580.75830078125,1,3-4
33,F7,0.002978766863902555,1.9002068562098713,214413,479067.73130805034,8905.7861328125,7574.3564453125,1,3-4
34,F9,0.0031128413641727452,1.8841104350057334,225794,501654.31954545993,8929.0849609375,7586.54052734375,1,3-4
35,F11,0.0028731177375472005,1.9091056346586863,216292,484774.03341693047,8897.505859375,7588.08447265625,1,3-4
36,G1,0.0032682600576547883,1.7013263729510395,196098,408076.791294574,8910.7734375,7563.75244140625,1,3-4
37,G3,0.0029725110371028557,1.7232815848274383,181046,379775.3484063031,8892.6953125,7575.8408203125,1,3-4
38,G5,0.0031625541494755493,1.703901366556839,194682,405510.57639257534,8928.4736328125,7611.81005859375,1,3-4
39,G7,0.003097605071080311,1.7191990304840643,204145,427595.03487780184,8914.533203125,7588.90283203125,1,3-4
40,G9,0.003066369516982774,2.0214114444297455,226457,527661.1838351043,8910.9140625,7614.232421875,1,3-4
41,G11,0.00312855903915352,1.6575151109461217,204999,419809.7300813729,8940.060546875,7600.96923828125,1,3-4
42,H1,0.0031807283681470136,1.565099450142442,201644,399013.5718916155,8921.5673828125,7584.4462890625,1,3-4
43,H3,0.0034547715783507355,1.6264612220363257,202303,409569.1774822149,8929.8828125,7601.6728515625,1,3-4
44,H5,0.002932989045867112,1.725725080299032,201063,422138.68301114056,8931.021484375,7621.68701171875,1,3-4
45,H7,0.003059919282232195,1.7993818352996815,215686,465015.55578553234,8909.224609375,7616.18603515625,1,3-4
46,H9,0.002747790229927275,2.129865827220742,228617,552602.0837090627,8953.5341796875,7635.69921875,1,3-4
47,H11,0.0029910308364998694,1.8169967899401127,212773,461628.53248046053,8899.9990234375,7612.4365234375,1,3-4
