,boot,f,S,L,cov
0,point,1.9017300113138922,1.757946205240386,-0.15218851914487813,0.8164182860336838
1,0,1.8264288494073266,1.5630724104688916,-0.2238543297668547,0.6612976715583146
2,1,1.869657016260278,1.9634581350792464,-0.018428954076456474,1.0142288982721754
3,2,1.9027967563505346,1.7895324424295942,-0.22763732735857262,0.8133180163368889
4,3,1.8974942822294305,1.824864332200517,-0.13912184989494464,0.8724904369870514
5,4,1.9229948477263648,2.000772614074192,0.09299866039857578,1.0987973638097637
6,5,1.9869910287805366,1.751253060669524,-0.18765512319323271,0.7914197856326324
7,6,1.9348723883060717,1.49996650832288,-0.37376900810756164,0.49716676886197964
8,7,1.9725811531762947,1.8006945221252832,-0.2203384727737275,0.8099596402561163
9,8,2.035505376728638,1.8245690490366113,-0.12425311203941501,0.8421410741290596
10,9,1.7597040701492686,1.8049411369328798,-0.05487967324313769,0.8992956604309768
11,10,1.969550583060795,1.6236527940226217,-0.2829768384428622,0.6679625219232301
12,11,2.023193832308212,1.7541947498374957,-0.40107560949800264,0.6991131614279337
13,12,1.9196752573430889,1.723939854937268,-0.24493458674042412,0.7332212265715721
14,13,2.095747395980025,1.938271547376037,-0.030282626228748284,1.0289213524943124
15,14,1.8110661583054042,1.5481521409284187,-0.2576249589708271,0.6262848878788657
16,15,1.8566544688876687,1.4189924524323072,-0.3673442227162692,0.5104991036061705
17,16,1.7212153525403149,1.506219532166516,-0.3590832299025268,0.6000384931154756
18,17,1.9693698865091813,1.7860685910044927,-0.00888535566216008,0.9513336510261626
19,18,1.8349679763229687,1.5294391777994725,-0.4661370249880896,0.5129867803575283
20,19,2.0663197804959768,1.8179670717632754,-0.22072014513749652,0.7768840284390613
21,20,1.919676426215908,1.8687325082058037,-0.09088382728816172,0.9826222553244852
22,21,1.8309582610685744,1.7500966487672116,-0.06773390176410209,0.8613585256839587
23,22,2.1754776526485777,2.0553914393309256,0.11561351139983961,1.1161725683138901
24,23,1.8520648891770135,1.8641322532681912,0.0625606482117823,0.965418459966541
25,24,2.0503093633454883,1.9188108317051897,-0.10544681748477518,0.931740216242636
26,25,1.8817903341812297,1.7680660711004461,-0.12661492656386075,0.8412499160585394
27,26,1.838083760762508,1.5306377357631442,-0.3271654925870196,0.580909366535495
28,27,1.913266699581522,1.716743352024928,-0.31128571311056874,0.7277388568258547
29,28,1.8971121394338595,2.0352260795588912,0.006370405584339549,1.0499771890841332
30,29,1.6435210864663965,2.2372478051503695,0.283462531799301,1.376068250183931
31,30,1.7546064064447122,1.8818607618965757,-0.012458528917377781,1.1266151027407454
32,31,1.8374114580099978,1.7267956208195911,-0.0439641494109991,0.8625004568014982
33,32,1.8133545069663268,1.630430760427159,-0.3469493189982197,0.6270789316449337
34,33,1.9815123505225227,1.846344259503733,-0.13703231326669743,0.8825001633041524
35,34,2.0591540241478787,1.6648929610072778,-0.27352875153533635,0.6893130172820551
36,35,1.9095618188872436,1.7164894040679473,-0.26921577003395675,0.7161896339830774
37,36,1.9698123510557766,1.7834642526782203,-0.19932835861129106,0.7862347890758062
38,37,2.000471713509617,1.7766782238593266,-0.30726259438408093,0.7445570145919486
39,38,1.9251338070441875,1.7768106800440107,-0.24698318145024117,0.7745408452421441
40,39,2.0335465169767057,1.8031967787573184,-0.14180252064465668,0.8168660640207674
41,40,1.7683032114164088,1.7360646968757008,-0.18970855975777648,0.8140548414963642
42,41,1.9177017700846417,1.957511041464907,0.09465697797174813,1.0652288546420703
43,42,1.9360309416991317,1.6430811592520056,-0.3142433667586849,0.6831262790770849
44,43,2.062304832878304,1.9741983875300135,0.12622998526358253,1.0964402913449889
45,44,1.8446525367164246,1.64390645747821,-0.19097301111831588,0.7569473035576221
46,45,2.007921486755328,1.9015893959858385,-0.03272076026207344,0.9681711876888993
47,46,1.857543171816434,2.085023966593072,0.1117591464805237,1.1843085064519716
48,47,2.141148617007435,2.0241356057807134,0.03126708977381862,1.0390860923934873
49,48,2.0739750080837505,2.251505746601217,0.125429660304348,1.2923664825478347
50,49,1.8484461126391216,1.9185859341980307,0.02273714512119693,1.0216181825960013
51,50,1.9267094304433365,1.7917211500294823,-0.45076207488494024,0.6757329334722371
52,51,1.7903253757266697,1.3648969028245475,-0.5728793981863083,0.35783344541260564
53,52,1.9608357290137812,1.8801504230378616,-0.028517345111085866,0.9746101896622665
54,53,2.0436416556311694,1.8826608829229072,0.029414167471275843,1.0132676578069622
55,54,1.855896349204238,1.403345205809584,-0.5216327590550471,0.400113098750073
56,55,1.8550446987994478,2.0012954712495725,0.03227143143806844,1.039791862455956
57,56,1.7253500461309292,1.6864142308284988,-0.13940735569737953,0.8482800597458003
58,57,1.9104402183764255,1.804246655772402,-0.03160579943088443,0.897055015095941
59,58,2.0086856722082045,2.02447089174815,-0.22037353026451598,0.9259472750015877
